Mfg Part Num	Mfg Name	VID	Vendor Part Num	Description	Type	Tolerance	Voltage Rating	Package	Value
RC0603FR-0730KL	Yageo	DK	311-30.0KHRCT-ND	"Resistor, 30k ohm, 100 mW, 1%, 100ppm, Thick Film 0603"	Resistor	1%	*	603	30k ohm
CRCW1210330RFKEA	Vishay Dale	NW	53K3182	"Resistor, 330 ohm, 500 mW, 1%, 1210"	Resistor	1%	200V	1210	330 ohm
ERJ-2RKF3602X	Panasonic	NW	53W4343	"Resistor, 36 kohm, 1%, 100 mW, 0402"	Resistor	1%	50V	402	36 kohm
RC0603FR-0736KL	Yageo	DK	311-36.0KHRCT-ND	"Resistor, 36 kohm, 1%, 100 mW, 0603"	Resistor	1%	75V	603	36k ohm
ERJ-3EKF4701V	Panasonic	DK	P4.70KHCT-ND	"Resistor, 4.7k ohm 1%, 100 mW, 100ppm, 0603"	Resistor	1%	50V	603	4.7k ohm
ERJ-14YJ470U	Panasonic	NW	53W4126	"Resistor, 47 ohm, 5%, 500 mW, 1210"	Resistor	5%	200 V	1210	47 ohm
CRCW251247R0FKEG	Vishay Dale	DK	541-47.0AFCT-ND	"Resistor, 47 ohm 500 mW, 1%, 2512, 500 V"	Resistor	1%	500 V	2512	47 ohm
CRCW1210470RFKEA	Vishay Dale	DK	541-470AACT-ND	"Resistor, 470 ohm, 500 mW, 1%, 1210"	Resistor	1%	*	1210	470 ohm
ERJ-3EKF5601V	Panasonic	NW	64R5354	"Resistor, 5.6 kohm, 100 mW, 1%, 0603"	Resistor	1%	75 V	603	5.6 kohm
CRCW04025K62FKED	Vishay Dale	DK	541-5.62KLCT-ND	"Resistor, 5.62k ohm, 1/16W, 1%, 100ppm, 0402"	Resistor	1%	*	402	5.62k ohm
RC0402FR-07510KL	Yageo	DK	311-510KLRCT-ND	RES 510K OHM 1/16W 1% 0402 SMD	Resistor	1%	*	402	510 kohm
CRCW0603510KFKEA	Vishay Dale	NW	52K8595	"Resistor, 510k ohm, 100 mW, 1%, Thick Film 0603"	Resistor	1%	75V	603	510k ohm
ERA-3AEB562V	Panasonic	NW	08N2130	"Resistor, 56k ohm, 63 mW, 0.1%, ﾕ_ﾱ25ppm/ﾕ_ﾼC, 0603"	Resistor	0.10%	75V	603	56k ohm
ERJ-3EKF6192V	Panasonic	NW	65T8501	"Resistor, Thick Film 61.9k, 100 mW, 1%, 0603"	Resistor	1.00%	75 V	603	61.9k ohm
ERJ-3GEYJ683V	Panasonic	NW	65T8681	"Resistor, 68k ohm, 0.1W, 5%, 0603 "	Resistor	5%	150V	603	68 kohm
ERJ-6GEYJ681V	Panasonic	NW	65T8839	"Resistor, 680 ohm, 0.125W, 5%, 0805"	Resistor	5%	*	805	680 ohm
RC0603FR-077K5L	Yageo	NW	68R0113	"Resistor, 7.5k ohm 100 mW, 1%, 100ppm, 0603"	Resistor	1%	50V	603	7.5k ohm
CRCW080560R4FKEA	VISHAY DALE	NW	53K0403	"RESISTOR, THICK FILM, 60.4 OHM, 125mW, 1%"	Resistor	1%	150V	0805	60.4 Ohm
ERJ-6GEYJ820V	Panasonic	NW	53W4971	"Resistor, 82 ohm, 125 mW, 5%, 0805"	Resistor	5%	150 V	805	82 ohm
RR1220P-9761-D-M	Susumu	DK	RR12P9.76KDCT-ND	"Resistor, 9.76k ohm, 0.1%, 25ppm, Thin Film 0805"	Resistor	0.10%	100V	805	9.76k ohm
RC0402JR-071ML	Yageo	NW	68R2089	"RESISTOR, THICK FILM, 1MOHM, 62.5mW, 5%"	Resistor	5%	*	402	1M ohm
CRCW04022M00FKED	Vishay Dale	DK	541-2.00MLCT-ND	RES 2.00M OHM 1/16W 1% 0402 SMD	Resistor	1%	*	402	2 M ohm
ERT-J1VG103FA	Panasonic	NW	55T6142	"Thermistor, NTC, 10 kohm, 1%, SMD, 0603, b = 3375 K"	Thermistor	1%	*	0603	10 kohm
FSM1LPATR	TE Connectivity	DK	450-1760-1-ND	"Tactile switch, SPST-NO, 0.05A, 12V"	Switch	*	12V	*	*
RS-187R05A2-DS MT RT	C&K Components	DK	CKN10361CT-ND	"Switch, Tactile, 5.2x5.2mm SMD"	Switch	*	*	*	*
B32-1060	Omron	NW	89C4238	"Keycap, for B3F and B3W series switches, white"	Switch	*	*	*	*
TL1290AF400BR	E-Switch	DK	EG4623-ND	"Switch, Pushbutton momentary, illuminated, SPDT, 0.1A, 32V, blue"	Switch	*	32V	*	Blue
TL1290AF400RR	E-Switch	DK	EG4624-ND	"Switch, Pushbutton momentary, illuminated, SPDT, 0.1A, 32V, red"	Switch	*	32V	*	Red
5GTH9358222	MEC Switches	DK	679-2619-ND	"Switch, Pushbutton, SPST, Illuminated(also order actuator)"	Switch	*	*	*	*
B3F-3152	Omron	NW	52F3555	"Switch, Pushbutton momentary, SPST-NO, 50 mA"	Switch	*	24 V	*	*
1IS11-22.5	MEC Switches	DK	679-3299-ND	"Actuator for MEC Switches 5G series, 22mm"	Switch Actuator	*	*	*	*
"BC846BW,115"	NXP Semiconductors	DK	568-6060-1-ND	"BJT, NPN, 65V, 100 mA, SOT-23"	Transistor	*	65V	SOT-23	*
"BC856BW,115"	NXP Semiconductors	DK	568-6078-1-ND	"BJT, PNP, 65V, 100 mA, SOT-23"	Transistor	*	65V	SOT-23	*
REF5030ID	Texas Instruments	NW	50M8901	"IC, Voltage Reference, 3.000 V, 0.05%"	Voltage Reference	*	*	SOIC-8	*
MM3Z3V3ST1G	ON Semiconductor	NW	09R9503	"ZENER DIODE, 200mW, 3.3V, SOD-323"	Zener Diode	*	3.3V	SOD-323	3.3V
PB1057CT-ND	TE Connectivity	DK	V23079D1003B301	RELAY GEN PURPOSE DPDT 2A 12V	Relay	*	12V	*	*
WM17505-ND	Molex	DK	19427-0032	CONN HEADER 4POS RIGHT ANGLE TIN	Connector	*	*	*	*
TL7700CDGKR	Texas Instruments	DK	296-24463-2-ND	IC SUPPLY VOLT SUPERVISOR 8VSSOP	"IC, Voltage Supervior"	*	40V	VSSOP-8	*
ADG719BRTZ	Analog Devices	Newark	96K2067	"Analog switch, single, SPDT, SOT-23-6"	"IC, Switch"	*	*	SOT-23-6	*
MPU-6000	InvenSense	DK	1428-1005-1-ND	"IC , 6-dof imu QFN24"	"IC, Sensor"	*	3.3v	QFN24	*
FGPMMOPA6H	GlobalTop	AD	ID: 790	"GPS module, Buy from Adafruit"	GPS	*	3.3V	module	*
